WptName,GR(6),Hill Name,Height,GridZN,GridEast,GridNorth,Latitude,Longitude,Prominence,Hillnumber,Country,Type
1044.H,SH662630,Carnedd Dafydd,1044,SH,66283,63046,53.14774,-4.00084,111,1966,Wales,Welsh 3000
0965.-,SH658626,Carnedd Fach,965.09,SH,65806,62618,53.14376,-4.00777,8.87,500926,Wales,Welsh 3000
1064.H,SH683643,Carnedd Llewelyn,1064,SH,68361,64372,53.16017,-3.97033,750,1965,Wales,Welsh 3000
0972.n,SH653581,Castell y Gwynt,972,SH,65397,58182,53.10382,-4.01204,16,3662,Wales,Welsh 3000
0972.-,SH674631,Cefn Ysgolion East Top,971.61,SH,67470,63192,53.14934,-3.98314,9.24,500177,Wales,Welsh 3000
0970.-,SH671630,Cefn Ysgolion West Top (Black Ladders),970,SH,67100,63000,53.14752,-3.98859,1,500178,Wales,Welsh 3000
0923.H,SH624551,Crib Goch,923,SH,62421,55186,53.07615,-4.05518,65,1976,Wales,Welsh 3000
0921.-,SH625552,Crib Goch East Top,920.89,SH,62546,55256,53.0768,-4.05332,6.33,508290,Wales,Welsh 3000
1065.H,SH610551,Crib y Ddysgl,1065.3,SH,61079,55155,53.07552,-4.07518,72,1964,Wales,Welsh 3000
0924.H,SH611612,Elidir Fawr,924,SH,61173,61289,53.13065,-4.07643,212,1975,Wales,Welsh 3000
0975.H,SH688659,Foel Grach,975.4,SH,68878,65906,53.17408,-3.96323,41.7,1970,Wales,Welsh 3000
0944.H,SH696681,Foel-fras,944.1,SH,69613,68121,53.19416,-3.95315,62.8,1973,Wales,Welsh 3000
0925.H,SH686669,Garnedd Uchaf (Carnedd Gwenllian),925,SH,68698,66902,53.18298,-3.96634,33,1974,Wales,Welsh 3000
0994.H,SH656582,Glyder Fach,994.3,SH,65643,58286,53.10482,-4.00841,74.5,1968,Wales,Welsh 3000
1001.H,SH642579,Glyder Fawr,1000.9,SH,64243,57953,53.10147,-4.02916,642,1967,Wales,Welsh 3000
0978.H,SH655619,Pen yr Ole Wen,978,SH,65596,61943,53.13766,-4.01064,45,1969,Wales,Welsh 3000
1085.H,SH609543,Snowdon-Yr Wyddfa,1085,SH,60986,54376,53.0685,-4.07623,1039,1963,Wales,Welsh 3000
0918.H,SH664593,Tryfan,917.5,SH,66405,59387,53.1149,-3.99749,191,1977,Wales,Welsh 3000
0947.H,SH630595,Y Garn,947,SH,63089,59569,53.11569,-4.04708,236,1972,Wales,Welsh 3000
0962.H,SH673651,Yr Elen,962,SH,67386,65115,53.1666,-3.98522,57,1971,Wales,Welsh 3000
0931.-,SH605536,Yr Wyddfa South Top,931.23,SH,60526,53694,53.06224,-4.08277,11.57,500182,Wales,Welsh 3000
0936.m,NN660775,A' Bhuidheanach Bheag,936.1,NN,66059,77594,56.87034,-4.199,109,390,Scotland,Munro
0999.M,NH136714,A' Chailleach,998.6,NH,13621,71413,57.69377,-5.12871,182,1043,Scotland,Munro
0929.m,NH681041,A' Chailleach,929.3,NH,68110,04178,57.10956,-4.17929,108,623,Scotland,Munro
1120.M,NH094147,A' Chraileag (A' Chralaig),1120,NH,09431,14791,57.18419,-5.15484,786,862,Scotland,Munro
0918.M,NH008231,A' Ghlas-bheinn,918,NH,00822,23104,57.25508,-5.30369,407,846,Scotland,Munro
0967.M,NH007749,A' Mhaighdean,967,NH,00776,74913,57.71965,-5.34672,442,1014,Scotland,Munro
0973.m,NN604762,A' Mharconaich,973.2,NN,60423,76293,56.857,-4.29067,112,386,Scotland,Munro
0934.m,NG465253,Am Basteir,934,NG,46564,25302,57.24794,-6.20297,49,1254,Scotland,Munro
1032.M,NN176650,Am Bodach,1031.8,NN,17638,65097,56.74173,-4.98337,152,303,Scotland,Munro
0953.M,NH303793,Am Faochagach,953,NH,30362,79372,57.7718,-4.85388,367,1066,Scotland,Munro
0996.M,NN378193,An Caisteal,995.9,NN,37873,19345,56.33862,-4.62437,474,31,Scotland,Munro
0924.m,NH241680,An Coileachan,924,NH,24172,68024,57.66763,-4.9495,148,1052,Scotland,Munro
0982.M,NN187669,An Gearanach,981.5,NN,18770,66992,56.75917,-4.96623,151,312,Scotland,Munro
1129.M,NH133344,An Riabhachan,1129,NH,13363,34482,57.36243,-5.10473,302,927,Scotland,Munro
1007.M,NN933836,An Sgarsoch,1006.5,NN,93339,83685,56.93211,-3.75429,319,407,Scotland,Munro
1069.M,NH100332,An Socach,1069,NH,10061,33274,57.35023,-5.1586,207,931,Scotland,Munro
0944.M,NO079800,An Socach,944,NO,07938,80015,56.90229,-3.51316,188,433,Scotland,Munro
0920.m,NH088229,An Socach,919.7,NH,08816,22999,57.25755,-5.17131,123,845,Scotland,Munro
1117.m,NN638431,An Stuc,1117.1,NN,63891,43102,56.56008,-4.21625,126,142,Scotland,Munro
1063.M,NH068843,An Teallach-Bidein a' Ghlas Thuill,1062.6,NH,06896,84366,57.8071,-5.25177,757,1003,Scotland,Munro
1059.m,NH064836,An Teallach-Sgurr Fiona,1058.7,NH,06406,83679,57.80073,-5.25944,141,1004,Scotland,Munro
1020.M,NH051083,Aonach air Chrith,1019.5,NH,05103,08354,57.12464,-5.22129,493,685,Scotland,Munro
1234.M,NN197715,Aonach Beag,1234,NN,19706,71502,56.8,-4.95414,404,279,Scotland,Munro
1116.m,NN457741,Aonach Beag,1115.8,NN,45786,74190,56.8335,-4.52918,99,347,Scotland,Munro
0952.m,NN161583,Aonach Eagach-Meall Dearg,952.3,NN,16126,58365,56.68074,-5.00324,120,179,Scotland,Munro
0968.M,NN140583,Aonach Eagach-Sgorr nam Fiannaidh,967.7,NN,14043,58306,56.67939,-5.03714,623,178,Scotland,Munro
1001.M,NH048137,Aonach Meadhoin,1001,NH,04882,13760,57.17303,-5.22917,174,828,Scotland,Munro
1220.m,NN193729,Aonach Mor,1220.4,NN,19306,72962,56.81294,-4.96171,133,281,Scotland,Munro
1024.M,NN056558,Beinn a' Bheithir-Sgorr Dhearg,1024.2,NN,05684,55847,56.65393,-5.17151,729,195,Scotland,Munro
1002.M,NN040555,Beinn a' Bheithir-Sgorr Dhonuill,1002.1,NN,04050,55544,56.65053,-5.19789,245,198,Scotland,Munro
1196.M,NJ092006,Beinn a' Bhuird (Beinn a' Bhuird North Top),1196,NJ,09230,00621,57.08759,-3.49938,456,529,Scotland,Munro
1083.M,NJ045013,Beinn a' Chaorainn,1083.3,NJ,04515,01360,57.09327,-3.57743,246,559,Scotland,Munro
1049.M,NN386850,Beinn a' Chaorainn,1049.1,NN,38605,85062,56.92862,-4.65364,227,663,Scotland,Munro
1088.M,NN471781,Beinn a' Chlachair,1087.8,NN,47123,78156,56.86953,-4.50967,540,349,Scotland,Munro
0916.m,NN250256,Beinn a' Chleibh,916.3,NN,25054,25606,56.39023,-4.83563,139,75,Scotland,Munro
0980.M,NN109328,Beinn a' Chochuill,980,NN,10977,32849,56.44979,-5.06855,252,251,Scotland,Munro
1081.M,NN373440,Beinn a' Chreachain,1080.6,NN,37389,44075,56.56039,-4.64759,650,104,Scotland,Munro
0941.m,NN387185,Beinn a' Chroin,941.4,NN,38755,18573,56.33199,-4.60964,136,2925,Scotland,Munro
1070.M,NN945724,Beinn a' Ghlo-Braigh Coire Chruinn-bhalgain,1070,NN,94564,72404,56.8311,-3.72949,222,422,Scotland,Munro
0976.M,NN936698,Beinn a' Ghlo-Carn Liath,975.8,NN,93607,69830,56.80777,-3.74409,207,429,Scotland,Munro
1122.M,NN971733,Beinn a' Ghlo-Carn nan Gabhar,1121.9,NN,97118,73315,56.83985,-3.68802,658,421,Scotland,Munro
1039.M,NN344432,Beinn Achaladair,1038.6,NN,34469,43244,56.55191,-4.69452,226,108,Scotland,Munro
0986.M,NG865612,Beinn Alligin-Sgurr Mor,986,NG,86565,61271,57.59083,-5.57277,601,957,Scotland,Munro
0922.M,NG859601,Beinn Alligin-Tom na Gruagaich,922,NG,85958,60153,57.58052,-5.58191,155,968,Scotland,Munro
1004.M,NN331408,Beinn an Dothaidh,1004,NN,33177,40868,56.53013,-4.71398,247,112,Scotland,Munro
1019.M,NN517717,Beinn Bheoil,1019,NN,51716,71722,56.81328,-4.43066,186,354,Scotland,Munro
